user_id,group,order,t1_accuracy,t1_resptime,t1_attention,t1_anxiety,t2_accuracy,t2_resptime,t2_attention,t2_anxiety
0,random,1,0.8315789473684211,5.181393816596583,6.0,5.0,0.8666666666666667,5.417117137379116,7.0,4.0
1,random,0,0.9178082191780822,5.307874202728272,3.0,5.0,0.9361702127659576,5.17053055255971,2.0,6.0
2,rl,0,1.0,6.402843153837956,4.0,6.0,0.9759036144578314,5.8101778576172975,3.0,7.0
3,random,1,0.9583333333333334,4.374377968410651,7.0,4.0,0.946808510638298,5.136090182243509,6.0,4.0
4,rl,1,0.9696969696969696,6.107824448383216,5.0,6.0,0.9693877551020408,6.307760323796954,2.0,7.0
5,random,1,0.9148936170212766,5.152556147981198,5.0,7.0,0.9565217391304348,5.039719744868901,4.0,5.0
6,rl,0,0.5540540540540541,4.047387680491886,7.0,5.0,0.5529411764705883,3.6040258127100326,7.0,6.0
7,random,0,0.96875,3.767085440456867,5.0,2.0,0.9230769230769232,3.495721188220349,5.0,3.0
8,rl,1,0.9148936170212766,4.831404084854937,6.0,5.0,0.945054945054945,4.909694975549048,5.0,5.0
11,rl,0,0.9791666666666666,4.961625710129738,5.0,1.0,0.9595959595959596,4.736197820817582,5.0,1.0
10,random,0,0.5303030303030303,2.160728252295292,3.0,2.0,0.6666666666666666,3.12316119843635,3.0,4.0
9,rl,1,0.8279569892473119,4.643877383201353,7.0,6.0,0.9591836734693876,4.940322939230471,6.0,2.0
12,random,0,0.9891304347826086,4.441049454004868,6.0,3.0,0.9456521739130436,4.5560518192208335,6.0,4.0
13,rl,0,0.9895833333333334,6.050248714784781,7.0,2.0,1.0,5.559065036559373,7.0,3.0
14,random,1,0.8282828282828283,4.63419850185664,6.0,7.0,0.936842105263158,4.890252168555008,7.0,6.0
15,rl,1,0.875,5.796711403876543,6.0,2.0,0.9444444444444444,5.734725813070933,5.0,1.0
16,random,1,0.96875,5.292196204264958,7.0,5.0,0.9484536082474226,5.639474991670589,7.0,6.0
17,rl,1,0.8469387755102041,4.746509688241141,7.0,6.0,0.9166666666666666,4.809803972641627,7.0,2.0
18,rl,1,0.9347826086956522,3.610616655453392,6.0,1.0,0.978494623655914,3.840433987238074,6.0,1.0
19,random,1,0.9777777777777776,5.208456182479859,4.0,2.0,0.9625,5.048454320430755,2.0,2.0
20,random,0,0.9176470588235294,3.603907500996309,6.0,4.0,0.9534883720930232,3.752075466998788,6.0,2.0
21,rl,1,0.927710843373494,4.633493452187044,6.0,4.0,0.8860759493670886,4.759418427189694,6.0,1.0
22,rl,1,0.95,5.126820284128189,6.0,5.0,0.9888888888888888,5.330908751487732,7.0,3.0
23,rl,1,1.0,6.281517706976997,5.0,5.0,0.9166666666666666,6.413831601540248,4.0,5.0
24,rl,0,0.7457627118644068,7.732844385050111,5.0,2.0,0.6818181818181818,6.768826412432121,4.0,2.0
25,rl,1,0.9655172413793104,7.790490088791683,4.0,5.0,0.9836065573770492,7.680074125039773,6.0,3.0
26,random,1,0.95,6.167078979810079,5.0,4.0,0.921875,6.085746753960848,3.0,5.0
27,rl,0,0.967741935483871,8.973418008896612,5.0,7.0,0.953846153846154,8.543915191063514,7.0,6.0
28,rl,1,0.9166666666666666,5.90726700425148,6.0,6.0,0.8703703703703703,6.48514751151756,4.0,5.0
29,random,0,0.987012987012987,7.026159927442476,3.0,5.0,0.975609756097561,6.661728294884286,1.0,1.0
30,random,0,0.9466666666666668,5.368564259211222,6.0,4.0,0.9054054054054054,5.183977690902916,3.0,3.0
31,random,1,0.84,3.2772268986701967,7.0,5.0,0.9387755102040816,3.5070184323252462,6.0,6.0
32,random,1,0.9693877551020408,3.583758921039348,6.0,4.0,0.9797979797979798,3.654074880811903,5.0,3.0
33,random,1,0.9651162790697676,5.466027733891509,5.0,6.0,0.967391304347826,5.385964670906896,6.0,3.0
34,random,0,1.0,3.7080914550357393,7.0,2.0,0.963855421686747,3.613892569599381,7.0,3.0
35,rl,0,1.0,4.794987931251526,7.0,7.0,0.99,5.134748404026031,4.0,5.0
36,rl,0,0.9848484848484848,6.485202142686555,5.0,5.0,1.0,6.482776023903671,4.0,4.0
37,random,0,0.9662921348314608,5.079325737578146,5.0,5.0,0.9375,4.493063467244308,5.0,7.0
38,rl,0,0.9264705882352942,4.570541273145115,2.0,1.0,0.9487179487179488,4.673459108059223,2.0,1.0
39,rl,0,1.0,4.135442937772298,6.0,2.0,0.9696969696969696,3.7772210342715486,5.0,3.0
40,random,1,0.9518072289156626,5.95907452594803,4.0,6.0,0.942528735632184,5.8095271450349655,5.0,6.0
41,rl,1,0.84375,4.129437732199828,5.0,6.0,0.9166666666666666,4.124041932324569,3.0,6.0
42,rl,1,0.7741935483870968,6.106520525870785,5.0,5.0,0.94,6.780700130462646,3.0,4.0
43,random,0,0.9393939393939394,5.264725854902556,5.0,4.0,0.7528089887640449,5.085614182975855,5.0,6.0
44,random,1,0.9587628865979382,4.470690134874324,4.0,3.0,0.9387755102040816,4.118527843027699,4.0,4.0
45,random,0,0.967391304347826,4.9540291843206985,6.0,5.0,0.9789473684210528,4.968953107532702,5.0,6.0
46,random,1,0.9175257731958762,5.639609617056306,5.0,7.0,0.9782608695652174,5.69068508821985,4.0,7.0
47,rl,0,0.9647058823529412,5.687640801598044,7.0,4.0,0.978021978021978,4.62470819923904,7.0,5.0
48,rl,0,0.8333333333333334,6.72643087126992,6.0,2.0,0.9402985074626866,6.821337977452065,5.0,2.0
49,random,0,0.99,4.996115703582763,7.0,2.0,0.99,4.3746963763237,7.0,5.0
50,random,0,0.9292929292929292,3.78528601473028,6.0,5.0,0.9484536082474226,3.727280960869544,5.0,2.0
51,random,1,0.9852941176470588,5.783967565087711,5.0,4.0,0.9873417721518988,5.947049240522746,6.0,3.0
52,random,1,0.9390243902439024,5.58021608213099,5.0,4.0,0.9438202247191012,5.923564755514766,5.0,4.0
53,random,0,0.9863013698630136,7.263056454593188,4.0,2.0,1.0,7.202841301759084,3.0,5.0
54,rl,0,1.0,5.360883856394205,6.0,5.0,0.9574468085106383,4.800938530171171,4.0,6.0
55,rl,0,0.9897959183673468,4.639507099073761,6.0,3.0,0.9797979797979798,4.172061778078176,6.0,5.0
56,random,0,0.9411764705882352,5.9229283823686485,7.0,7.0,0.971830985915493,5.640260733349223,6.0,5.0
57,rl,0,0.9036144578313252,5.254434100116592,4.0,7.0,0.8229166666666666,5.274217960735162,2.0,7.0
58,random,1,0.9397590361445785,5.394793832158467,5.0,5.0,0.945054945054945,5.118501010831896,6.0,5.0
59,random,0,0.975609756097561,5.140754060047429,4.0,2.0,0.9777777777777776,5.558116274409824,3.0,3.0
60,rl,0,0.9466666666666668,5.266797348658244,6.0,4.0,0.9518072289156626,5.767719659460596,5.0,5.0
61,random,1,0.8645833333333334,4.0667924284935,6.0,6.0,0.946236559139785,3.778878170956848,5.0,5.0
62,rl,0,0.8431372549019608,7.277881182876288,6.0,2.0,0.7228915662650602,5.753804993916707,2.0,3.0
63,rl,0,0.9690721649484536,3.988368385845853,7.0,2.0,0.95,3.1232138991355898,7.0,5.0
64,random,1,0.898989898989899,4.709503785528318,5.0,4.0,0.9693877551020408,4.748542929182247,3.0,6.0
65,random,0,0.9690721649484536,4.51172545767322,5.0,4.0,0.9791666666666666,4.236999360223611,5.0,4.0
66,rl,1,0.9693877551020408,4.471313556846307,7.0,4.0,1.0,5.243279693052941,7.0,6.0
67,random,0,0.9052631578947368,5.410550391046624,4.0,3.0,0.8936170212765957,4.857371419034106,5.0,4.0
68,rl,1,0.9393939393939394,5.747440540429317,4.0,3.0,0.9565217391304348,6.111767412959665,6.0,2.0
69,rl,0,0.9693877551020408,5.02945876121521,6.0,4.0,0.979591836734694,5.037279408805224,6.0,3.0
70,rl,1,0.9897959183673468,4.177266926181559,6.0,3.0,0.9787234042553192,4.345401943998134,5.0,1.0
71,rl,0,0.8674698795180723,5.825670035488634,5.0,6.0,0.9263157894736842,5.015496778488159,6.0,7.0
72,rl,1,0.9587628865979382,2.954853645305044,7.0,5.0,0.9456521739130436,2.9428552389144897,6.0,5.0
73,random,0,0.8791208791208791,4.684833801709688,7.0,2.0,0.782608695652174,4.467745607313902,6.0,4.0
74,rl,1,0.946808510638298,3.834381341934204,5.0,1.0,0.9347826086956522,4.003249710020811,4.0,1.0
75,random,1,0.95,4.054927945137024,6.0,2.0,0.96,4.10869521856308,6.0,1.0
76,random,0,0.9743589743589745,6.017805331792587,7.0,3.0,0.9176470588235294,5.621685067345115,6.0,5.0
77,rl,1,0.896551724137931,4.234469635733243,5.0,4.0,0.9540229885057472,4.386761805106854,4.0,3.0
78,rl,1,0.9318181818181818,4.54169868610122,5.0,6.0,0.9767441860465116,4.667635715285013,6.0,2.0
